loss,C4 Eval Loss,N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,model,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,sweep
5.939757396001369,5.939757396001369,93940416,35842752,134217728,75650815224446976,28864396439322624,75650815217369088,28864396432244736,0.008,misfitting_35m,134217728,16000,128,125,1,0.002,2024_11_26-18_49_27_sweep_test
5.076595671009272,5.076595671009272,93940416,35842752,268435456,151301630441816064,57728792871567360,151301630434738176,57728792864489472,0.016,misfitting_35m,268435456,16000,256,125,2,0.002,2024_11_26-18_49_27_sweep_test
4.514407243579626,4.514407243579626,93940416,35842752,402653184,226952445659185152,86593189303812096,226952445652107264,86593189296734208,0.024,misfitting_35m,402653184,16000,384,125,3,0.002,2024_11_26-18_49_27_sweep_test
4.252276332117617,4.252276332117617,93940416,35842752,536870912,302603260876554240,115457585736056832,302603260869476352,115457585728978944,0.032,misfitting_35m,536870912,16000,512,125,4,0.002,2024_11_26-18_49_27_sweep_test
4.115552387200296,4.115552387200296,93940416,35842752,671088640,378254076093923328,144321982168301568,378254076086845440,144321982161223680,0.04,misfitting_35m,671088640,16000,640,125,5,0.002,2024_11_26-18_49_27_sweep_test
4.001467020949349,4.001467020949349,93940416,35842752,805306368,453904891311292416,173186378600546304,453904891304214528,173186378593468416,0.048,misfitting_35m,805306368,16000,768,125,6,0.002,2024_11_26-18_49_27_sweep_test
3.9298037816770375,3.9298037816770375,93940416,35842752,939524096,529555706528661504,202050775032791040,529555706521583616,202050775025713152,0.056,misfitting_35m,939524096,16000,896,125,7,0.002,2024_11_26-18_49_27_sweep_test
3.874184215674177,3.874184215674177,93940416,35842752,1073741824,605206521746030592,230915171465035776,605206521738952704,230915171457957888,0.064,misfitting_35m,1073741824,16000,1024,125,8,0.002,2024_11_26-18_49_27_sweep_test
3.827025562291965,3.827025562291965,93940416,35842752,1207959552,680857336963399680,259779567897280512,680857336956321792,259779567890202624,0.072,misfitting_35m,1207959552,16000,1152,125,9,0.002,2024_11_26-18_49_27_sweep_test
3.7894160505384207,3.7894160505384207,93940416,35842752,1342177280,756508152180768768,288643964329525248,756508152173690880,288643964322447360,0.08,misfitting_35m,1342177280,16000,1280,125,10,0.002,2024_11_26-18_49_27_sweep_test
3.758259009104222,3.758259009104222,93940416,35842752,1476395008,832158967398137856,317508360761769984,832158967391059968,317508360754692096,0.088,misfitting_35m,1476395008,16000,1408,125,11,0.002,2024_11_26-18_49_27_sweep_test
3.733600438805297,3.733600438805297,93940416,35842752,1610612736,907809782615506944,346372757194014720,907809782608429056,346372757186936832,0.096,misfitting_35m,1610612736,16000,1536,125,12,0.002,2024_11_26-18_49_27_sweep_test
3.714748921338469,3.714748921338469,93940416,35842752,1744830464,983460597832876032,375237153626259456,983460597825798144,375237153619181568,0.104,misfitting_35m,1744830464,16000,1664,125,13,0.002,2024_11_26-18_49_27_sweep_test
3.6870150903705508,3.6870150903705508,93940416,35842752,1879048192,1059111413050245120,404101550058504192,1059111413043167232,404101550051426304,0.112,misfitting_35m,1879048192,16000,1792,125,14,0.002,2024_11_26-18_49_27_sweep_test
3.6669844929128885,3.6669844929128885,93940416,35842752,2013265920,1134762228267614208,432965946490748928,1134762228260536320,432965946483671040,0.12,misfitting_35m,2013265920,16000,1920,125,15,0.002,2024_11_26-18_49_27_sweep_test
3.6498324424028397,3.6498324424028397,93940416,35842752,2147483648,1210413043484983296,461830342922993664,1210413043477905408,461830342915915776,0.128,misfitting_35m,2147483648,16000,2048,125,16,0.002,2024_11_26-18_49_27_sweep_test
3.6344944566953927,3.6344944566953927,93940416,35842752,2281701376,1286063858702352384,490694739355238400,1286063858695274496,490694739348160512,0.136,misfitting_35m,2281701376,16000,2176,125,17,0.002,2024_11_26-18_49_27_sweep_test
3.625432989327237,3.625432989327237,93940416,35842752,2415919104,1361714673919721472,519559135787483136,1361714673912643584,519559135780405248,0.144,misfitting_35m,2415919104,16000,2304,125,18,0.002,2024_11_26-18_49_27_sweep_test
3.614493348635733,3.614493348635733,93940416,35842752,2550136832,1437365489137090560,548423532219727872,1437365489130012672,548423532212649984,0.152,misfitting_35m,2550136832,16000,2432,125,19,0.002,2024_11_26-18_49_27_sweep_test
3.6032275401521474,3.6032275401521474,93940416,35842752,2684354560,1513016304354459648,577287928651972608,1513016304347381760,577287928644894720,0.16,misfitting_35m,2684354560,16000,2560,125,20,0.002,2024_11_26-18_49_27_sweep_test
3.5880147225689143,3.5880147225689143,93940416,35842752,2818572288,1588667119571828736,606152325084217344,1588667119564750848,606152325077139456,0.168,misfitting_35m,2818572288,16000,2688,125,21,0.002,2024_11_26-18_49_27_sweep_test
3.578810545615852,3.578810545615852,93940416,35842752,2952790016,1664317934789197824,635016721516462080,1664317934782119936,635016721509384192,0.176,misfitting_35m,2952790016,16000,2816,125,22,0.002,2024_11_26-18_49_27_sweep_test
3.5693172314204276,3.5693172314204276,93940416,35842752,3087007744,1739968750006566912,663881117948706816,1739968749999489024,663881117941628928,0.184,misfitting_35m,3087007744,16000,2944,125,23,0.002,2024_11_26-18_49_27_sweep_test
3.5639737648889422,3.5639737648889422,93940416,35842752,3221225472,1815619565223936000,692745514380951552,1815619565216858112,692745514373873664,0.192,misfitting_35m,3221225472,16000,3072,125,24,0.002,2024_11_26-18_49_27_sweep_test
3.555050826165825,3.555050826165825,93940416,35842752,3355443200,1891270380441305088,721609910813196288,1891270380434227200,721609910806118400,0.2,misfitting_35m,3355443200,16000,3200,125,25,0.002,2024_11_26-18_49_27_sweep_test
3.544743609149009,3.544743609149009,93940416,35842752,3489660928,1966921195658674176,750474307245441024,1966921195651596288,750474307238363136,0.208,misfitting_35m,3489660928,16000,3328,125,26,0.002,2024_11_26-18_49_27_sweep_test
3.540029915748164,3.540029915748164,93940416,35842752,3623878656,2042572010876043264,779338703677685760,2042572010868965376,779338703670607872,0.216,misfitting_35m,3623878656,16000,3456,125,27,0.002,2024_11_26-18_49_27_sweep_test
3.532657869393006,3.532657869393006,93940416,35842752,3758096384,2118222826093412352,808203100109930496,2118222826086334464,808203100102852608,0.224,misfitting_35m,3758096384,16000,3584,125,28,0.002,2024_11_26-18_49_27_sweep_test
