loss,C4 Eval Loss,N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,model,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,sweep
3.6561761465854943,3.6561761465854943,57234240,12047168,4194304000,1440346810619265024,303176909591937024,1440346810613760000,303176909586432000,1.0,misfitting_12m,4194304000,4000,4000,32,32,0.008,2025_02_07-11_16_24_sweep_test
4.6492726219585165,4.6492726219585165,57234240,12047168,524288000,180043351332225024,37897113703809024,180043351326720000,37897113698304000,1.0,misfitting_12m,524288000,500,500,4,4,0.002,2025_02_06-23_52_40_sweep_test
4.9891966541763395,4.9891966541763395,57234240,12047168,377487360,129631212960743424,27285921868283904,129631212955238400,27285921862778880,1.0,misfitting_12m,377487360,360,360,3,3,0.002,2025_02_06-23_52_40_sweep_test
4.440314286039211,4.440314286039211,57234240,12047168,524288000,180043351332225024,37897113703809024,180043351326720000,37897113698304000,1.0,misfitting_12m,524288000,500,500,4,4,0.004,2025_02_06-23_52_40_sweep_test
4.794083699584007,4.794083699584007,57234240,12047168,377487360,129631212960743424,27285921868283904,129631212955238400,27285921862778880,1.0,misfitting_12m,377487360,360,360,3,3,0.004,2025_02_06-23_52_40_sweep_test
4.846336110960692,4.846336110960692,57234240,12047168,377487360,129631212960743424,27285921868283904,129631212955238400,27285921862778880,1.0,misfitting_12m,377487360,360,360,3,3,0.008,2025_02_06-23_52_40_sweep_test
4.460196437663399,4.460196437663399,57234240,12047168,524288000,180043351332225024,37897113703809024,180043351326720000,37897113698304000,1.0,misfitting_12m,524288000,500,500,4,4,0.008,2025_02_06-23_52_40_sweep_test
3.2533262621436734,3.2533262621436734,295930560,199101120,6291456000,11171004583783956480,7515815616196116480,11171004583772160000,7515815616184320000,1.0,misfitting_200m,6291456000,6000,6000,24,24,0.0004,2024_11_26-18_23_25_sweep_test
3.03909122524783,3.03909122524783,295930560,199101120,9437184000,16756506875670036480,11273723424288276480,16756506875658240000,11273723424276480000,1.0,misfitting_200m,9437184000,9000,9000,71,71,0.001,2024_11_26-18_23_25_sweep_test
3.112810139544308,3.112810139544308,295930560,199101120,6291456000,11171004583783956480,7515815616196116480,11171004583772160000,7515815616184320000,1.0,misfitting_200m,6291456000,6000,6000,47,47,0.001,2024_11_26-18_23_25_sweep_test
3.10710726166144,3.10710726166144,295930560,199101120,6291456000,11171004583783956480,7515815616196116480,11171004583772160000,7515815616184320000,1.0,misfitting_200m,6291456000,6000,6000,47,47,0.002,2024_11_26-18_23_25_sweep_test
3.2519370878580958,3.2519370878580958,176576256,99112704,6291456000,6665530471621853184,3741379297551581184,6665530471612416000,3741379297542144000,1.0,misfitting_100m,6291456000,6000,6000,47,47,0.001,2024_11_21-15_50_57_sweep_test
3.7506104824133217,3.7506104824133217,295930560,199101120,1572864000,2792751145954836480,1878953904057876480,2792751145943040000,1878953904046080000,1.0,misfitting_200m,1572864000,1500,1500,12,12,0.0004,2024_11_11-17_46_29_sweep_test
3.5291626318357885,3.5291626318357885,295930560,199101120,1572864000,2792751145954836480,1878953904057876480,2792751145943040000,1878953904046080000,1.0,misfitting_200m,1572864000,1500,1500,12,12,0.001,2024_11_11-17_46_29_sweep_test
3.4916086732409894,3.4916086732409894,295930560,199101120,1572864000,2792751145954836480,1878953904057876480,2792751145943040000,1878953904046080000,1.0,misfitting_200m,1572864000,1500,1500,12,12,0.002,2024_11_11-17_46_29_sweep_test
3.351298660505563,3.351298660505563,142394560,71386304,5242880000,4479345544405450752,2245618953101770752,4479345544396800000,2245618953093120000,1.0,misfitting_70m,5242880000,5000,5000,40,40,0.001,2024_11_15-17_25_57_sweep_test
3.128357550362125,3.128357550362125,418819968,302624640,4194304000,10539949602387787776,7615798428317515776,10539949602373632000,7615798428303360000,1.0,misfitting_300m,4194304000,4000,4000,16,16,0.001,2024_11_17-14_05_55_sweep_test
2.9947290411219,2.9947290411219,418819968,302624640,8388608000,21079899204761419776,15231596856620875776,21079899204747264000,15231596856606720000,1.0,misfitting_300m,8388608000,8000,8000,63,63,0.001,2024_11_26-19_19_23_sweep_test
3.088470061076805,3.088470061076805,418819968,302624640,8388608000,21079899204761419776,15231596856620875776,21079899204747264000,15231596856606720000,1.0,misfitting_300m,8388608000,8000,8000,63,63,0.0004,2024_11_26-19_19_23_sweep_test
3.1085423519834876,3.1085423519834876,418819968,302624640,4194304000,10539949602387787776,7615798428317515776,10539949602373632000,7615798428303360000,1.0,misfitting_300m,4194304000,4000,4000,16,16,0.002,2024_11_17-14_05_55_sweep_test
3.158896503271535,3.158896503271535,418819968,302624640,6291456000,15809924403574603776,11423697642469195776,15809924403560448000,11423697642455040000,1.0,misfitting_300m,6291456000,6000,6000,47,47,0.0004,2024_11_26-19_19_23_sweep_test
3.0438939505256712,3.0438939505256712,418819968,302624640,6291456000,15809924403574603776,11423697642469195776,15809924403560448000,11423697642455040000,1.0,misfitting_300m,6291456000,6000,6000,47,47,0.002,2024_11_26-19_19_23_sweep_test
3.270217459416017,3.270217459416017,418819968,302624640,4194304000,10539949602387787776,7615798428317515776,10539949602373632000,7615798428303360000,1.0,misfitting_300m,4194304000,4000,4000,16,16,0.0004,2024_11_17-14_05_55_sweep_test
3.0496976118301973,3.0496976118301973,418819968,302624640,6291456000,15809924403574603776,11423697642469195776,15809924403560448000,11423697642455040000,1.0,misfitting_300m,6291456000,6000,6000,47,47,0.001,2024_11_26-19_19_23_sweep_test
2.991805797559209,2.991805797559209,418819968,302624640,8388608000,21079899204761419776,15231596856620875776,21079899204747264000,15231596856606720000,1.0,misfitting_300m,8388608000,8000,8000,63,63,0.002,2024_11_26-19_19_23_sweep_test
4.5352601510239765,4.5352601510239765,176576256,99112704,524288000,555460872643805184,311781608137949184,555460872634368000,311781608128512000,1.0,misfitting_100m,524288000,500,500,2,2,0.004,2024_11_22-23_59_31_sweep_test
6.233074342831969,6.233074342831969,62052928,16865856,104857600,39040326623821824,10611079098138624,39040326618316800,10611079092633600,1.0,misfitting_17m,104857600,100,100,1,1,0.004,2024_11_22-23_59_31_sweep_test
6.321534189861268,6.321534189861268,62052928,16865856,104857600,39040326623821824,10611079098138624,39040326618316800,10611079092633600,1.0,misfitting_17m,104857600,100,100,1,1,0.008,2024_11_22-23_59_31_sweep_test
6.186797802103683,6.186797802103683,57234240,12047168,104857600,36008670270849024,7579422745165824,36008670265344000,7579422739660800,1.0,misfitting_12m,104857600,100,100,1,1,0.004,2024_11_22-23_59_31_sweep_test
5.369945453829132,5.369945453829132,142394560,71386304,262144000,223967277228490752,112280947663306752,223967277219840000,112280947654656000,1.0,misfitting_70m,262144000,250,250,1,1,0.004,2024_11_22-23_59_31_sweep_test
4.477486148185562,4.477486148185562,295930560,199101120,524288000,930917048659476480,626317968027156480,930917048647680000,626317968015360000,1.0,misfitting_200m,524288000,500,500,2,2,0.001,2024_11_22-23_59_31_sweep_test
5.167175830807537,5.167175830807537,113718400,49165440,262144000,178863577505464320,77330550628024320,178863577497600000,77330550620160000,1.0,misfitting_50m,262144000,250,250,2,2,0.002,2024_11_22-23_59_31_sweep_test
5.303078626981005,5.303078626981005,113718400,49165440,262144000,178863577505464320,77330550628024320,178863577497600000,77330550620160000,1.0,misfitting_50m,262144000,250,250,2,2,0.001,2024_11_22-23_59_31_sweep_test
5.241434684256092,5.241434684256092,142394560,71386304,262144000,223967277228490752,112280947663306752,223967277219840000,112280947654656000,1.0,misfitting_70m,262144000,250,250,2,2,0.001,2024_11_22-23_59_31_sweep_test
5.23196559632197,5.23196559632197,113718400,49165440,262144000,178863577505464320,77330550628024320,178863577497600000,77330550620160000,1.0,misfitting_50m,262144000,250,250,2,2,0.004,2024_11_22-23_59_31_sweep_test
6.341977728297934,6.341977728297934,62052928,16865856,104857600,39040326623821824,10611079098138624,39040326618316800,10611079092633600,1.0,misfitting_17m,104857600,100,100,1,1,0.002,2024_11_22-23_59_31_sweep_test
6.256837685359642,6.256837685359642,57234240,12047168,104857600,36008670270849024,7579422745165824,36008670265344000,7579422739660800,1.0,misfitting_12m,104857600,100,100,1,1,0.002,2024_11_22-23_59_31_sweep_test
5.176132993074134,5.176132993074134,176576256,99112704,262144000,277730436326621184,155890804073693184,277730436317184000,155890804064256000,1.0,misfitting_100m,262144000,250,250,1,1,0.002,2024_11_22-23_59_31_sweep_test
